Date,Day of the Week,Amount,Description,Category ,Method of Payment
01/20/2023,Friday,$41.85,Costco Gas,Gas,Credit
01/20/2023,Friday,$6.99,Safeway,Food,Credit
01/21/2023,Saturday,$3.98,Safeway,Food,Credit
01/22/2023,Sunday,$91.58,Car Wash,Automotive,Credit
01/23/2023,Monday,$746.74,Car Insurance,Automotive,Debit
01/24/2023,Tuesday,$42.31,Costco Gas,Gas,Credit
01/24/2023,Tuesday,$21.96,Popeyes,Food,Credit
01/26/2023,Thursday,$37.99,Pacific Super,Food,Credit
01/27/2023,Friday,$16.18,Rite Aid,Food,Credit
01/27/2023,Friday,$38.26,Amazon,Miscellaneous,Credit
01/28/2023,Saturday,$10.20,Starbucks,Food,Credit
01/28/2023,Saturday,$10,Laundry,Housing,Credit
01/28/2023,Saturday,$10.98,Shaver,Personal Care,Credit
01/29/2023,Sunday,$19.61,Safeway,Food,Credit
01/29/2023,Sunday,$44.23,Costco Gas,Gas,Credit
01/30/2023,Monday,$15.99,Spotify,Bills,Credit
01/30/2023,Monday,$21.86,Amazon,Miscellaneous,Credit
01/31/2023,Tuesday,$43.50,Costco Gas,Gas,Credit
01/31/2023,Tuesday,$22.23,High Flying Foods,Food,Credit
01/31/2023,Tuesday,$20.49,Water,Food,Credit